,genre,imdbid,title,released,type,synopsis
0,"['Crime', 'Drama']",tt14507354,The Endgame,2022,tvSeries,
1,['Documentary'],tt19849214,Alien Endgame,2022,movie,
2,['Documentary'],tt14852334,The EndGame,2021,movie,
3,['Documentary'],tt12292428,Endgame 2050,2020,movie,"What will the future be like in the year 2050? Endgame 2050 is a feature-length documentary that gives us a glimpse into that future, and it does not look good. Featuring musician Moby ..."
4,['Adventure'],tt15183146,Piggy: Endgame,2020,movie,
5,"['Action', 'Adventure', 'Drama']",tt4154796,Avengers: Endgame,2019,movie,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
6,['Documentary'],tt8655550,Endgame - assisted suicide and legislation,2018,movie,
7,['Crime'],tt14032502,Almaznyi Endshpil/Diamond Endgame,2017,tvMiniSeries,
8,"['Action', 'Horror']",tt5481404,Dead Rising: Endgame,2016,movie,"In a zombie-infested quarantined zone of East Mission City, investigative reporter Chase Carter must stop a secret government conspiracy."
9,['Action'],tt5255260,Deadly Game IV: Endgame,2016,movie,"Razor D returns to oppose a new alliance of human and demon-kind. With a new team of warriors by his side along with some old enemies turned allies, the race is on to find the Pureblood, the one who can finally end the human/demon war."
10,['Talk-Show'],tt5758074,Endgame,2016,tvSeries,"It's all video games, all the time on EndGame, Comic-Con HQ's weekly gaming show. Michele Morror and Khail Anonymous cover the industry's news, trends (good and bad)...and chat with gaming's biggest makers."
11,"['Biography', 'Drama']",tt2941396,Endgame,2015,movie,"Since he was 5 yrs old, Jose's abuelita taught him to play chess like his grandfather who was a champion in Mexico. Now as part of the Brownsville school team, Jose has the chance to use ..."
12,['Drama'],tt6551966,Endgame: Chapter One,2015,movie,
13,['Documentary'],tt12861690,Britten's Endgame,2013,tvMovie,"A look at the final years of Benjamin Britten's life and how they influenced his final opera ""Death in Venice""."
14,"['Crime', 'Drama']",tt1797629,Endgame,2011,tvSeries,"Endgame is an original drama series centering on brilliant chess master, Arkady Balagan. Traumatized by the murder of his fiancée, Balagan has become a prisoner in his luxury Vancouver ..."
15,['Thriller'],tt1941655,Solitaire: Endgame,2011,movie,Two fugitives hijack a residential house to avoid a closing in police search. But the hostages fight back.
16,"['Action', 'Comedy']",tt1268987,Operation: Endgame,2010,movie,A battle ensues among groups of government spy teams in an underground facility after their boss is assassinated.
17,"['Drama', 'History']",tt1217616,Endgame,2009,movie,A story based on the covert discussions that brought down the Apartheid regime in South Africa.
18,['Mystery'],tt1322911,An Endgame,2008,movie,
19,['Drama'],tt2097873,Endgame MMI,2002,tvMovie,
20,['Drama'],tt1243215,Endgame: Ethics and Values in America,2002,tvMovie,Night. A winding road. Two women alone. A moment of distraction. Headlights. A near collision. A car veers into a canyon killing the driver. THERE ARE NO WITNESSES. A moment to think. Do ...
21,['Documentary'],tt0308221,Endgame in Ireland,2001,tvMovie,"A comprehensive look at the Irish people's struggle for Civil rights and how it transpired into a military campaign for independence, before a political agreement was made for fair ..."
22,"['Drama', 'Thriller']",tt0292502,Endgame,2001,movie,"Sex is currency. It commands power and can instill fear. Tom, a young man with a troubled past finds himself sucked into a seedy underworld by George Norris, a now super villain with a ..."
23,"['Comedy', 'Drama']",tt0216736,Endgame,2000,tvMovie,"Hamm is blind and unable to stand; Clov, his servant, is unable to sit; Nagg and Nell are his father and mother, who are legless and live in dustbins. Together they live in a room with two windows, but there may be nothing at all outside."
24,"['Action', 'Adventure', 'Fantasy']",tt0144964,Highlander: Endgame,2000,movie,"Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone."
25,"['Comedy', 'Drama']",tt0252263,Beckett Directs Beckett: Endgame by Samuel Beckett,1992,tvMovie,
26,['Drama'],tt0365162,Endgame by Samuel Beckett,1991,tvMovie,
27,"['Action', 'Sci-Fi', 'Thriller']",tt0089091,Endgame - Bronx lotta finale,1983,movie,A telepathic mutant recruits a post-World War III TV game-show warrior to lead her band of mutants to safety.
